Layer,Head,Impact,SNR,P_val
9,17,0.0,-0.15343224377184825,0.9999992827123847
9,18,0.0,-0.16012815380508713,0.9999997520704664
9,19,0.0,-0.34477358149667514,1.0
10,0,0.0,-0.3274301221850063,1.0
10,1,0.0,-0.18760780199821225,0.9999999979116769
10,2,0.0,-0.2427535206658619,0.99999999999998
10,3,0.019975399312301148,-1.1213592958267637,1.0
10,4,0.0,-0.36223480322773194,1.0
10,5,0.02315507503033664,-0.39919340411404797,1.0
10,6,0.0,-0.2514136650055685,0.9999999999999974
10,8,0.0,-0.6266974154275932,1.0
10,9,0.0,-0.2077096386495161,0.9999999999582758
10,10,0.0,-0.3180261406763215,1.0
10,11,0.0,-0.26815979444706556,1.0
10,12,0.0,-0.26277487947124806,0.9999999999999999
10,13,0.0,-0.20267018118931562,0.9999999998850068
10,14,0.0,-0.19118883054459299,0.9999999989329027
10,15,0.0,-0.3544097714138949,1.0
10,16,0.0,-0.24063005832839926,0.9999999999999674
10,17,0.023005275133043675,-0.395826762618336,1.0
10,18,0.0,-0.22465628569229681,0.999999999998823
10,19,0.01959184760008848,-0.26395700402809763,0.9999999999999999
11,0,0.012221233650997415,-0.41915933068889555,1.0
11,1,0.0,-0.19269312595081417,0.9999999991978324
11,3,0.02259507152952278,-0.03407022399504842,0.8590977680963736
11,4,0.0,-0.16622322073674003,0.9999999089553896
11,5,0.0,-0.3454359601873018,1.0
11,6,0.0,-0.24817699481736508,0.9999999999999944
11,7,0.0,-0.27511886028157245,1.0
11,8,0.0,-0.14308428922555447,0.9999965773305017
11,9,0.032579448966725606,0.511106099841888,1.2433851061283875e-52
11,11,0.0,-0.22436957948133154,0.9999999999987473
11,12,0.0,-0.5635708722794243,1.0
11,13,0.0,-0.8014599563303842,1.0
11,14,0.0,-0.29547883851844475,1.0
11,15,0.0,-0.16658099888065903,0.9999999142430385
11,16,0.0,-0.1442838007590208,0.999997130300359
11,17,0.0,-0.2208262530475373,0.999999999997307
11,19,0.0,-0.1874886506772766,0.9999999978649097
12,0,0.022378165132423883,-1.0543831089005828,1.0
12,1,0.0,-0.29336377892604565,1.0
12,2,0.0,-0.22623428687707708,0.9999999999991661
12,3,0.0,-0.4109475650555783,1.0
12,4,0.0,-0.1633831238975984,0.9999998541951497
12,5,0.023967267875648967,0.004890242588714474,0.43859746321701215
12,7,0.0,-0.156812512046795,0.9999995783418992
12,8,0.0,-0.22411817695222544,0.999999999998677
12,9,0.0,-0.39464900838988864,1.0
12,10,0.0,-0.46761294994688507,1.0
12,11,0.007404869796903484,-0.6229179987977893,1.0
12,12,0.025678869653076697,0.76186094540429,1.0696789499613058e-101
12,13,0.0,-0.30039148635388807,1.0
12,14,0.0,-0.17198249390839174,0.99999996572547
12,15,0.0,-0.3681356703429926,1.0
12,16,0.0,-0.22723726382121515,0.9999999999993309
12,17,0.0,-0.25120896938458476,0.9999999999999973
12,18,0.02169863736904043,-1.1128919747971073,1.0
12,19,0.0,-0.22197826853206676,0.9999999999978978
13,0,0.019720248432352868,-0.6596888344030313,1.0
13,1,0.0,-0.4260184256266941,1.0
13,2,0.0,-0.5397799635401878,1.0
13,3,0.0,-0.3722709536144447,1.0
13,4,0.03215938071981499,0.1989449588617879,2.398994607604179e-10
13,5,0.024636892115194653,0.4058136327865403,2.832165174389418e-35
13,6,0.0,-0.24941695812752745,0.9999999999999959
13,7,0.0,-0.156812512046795,0.9999995783418992
13,9,0.024152240433213266,0.1597978362854192,2.6151463104432786e-07
13,10,0.0,-0.28280649525061974,1.0
13,11,0.022760371937318155,-0.6492539130636528,1.0
13,12,0.0,-0.14285714285714288,0.9999964617093752
13,13,0.0,-0.2067575475108661,0.999999999949383
13,14,0.0,-0.3284304069526795,1.0
13,15,0.0,-0.35170812352489034,1.0
13,16,0.0,-0.18175324918060087,0.9999999938902004
13,17,0.1197777157087434,1.6063047960636148,3.121562141258103e-279
13,18,0.0,-0.2633406813404166,0.9999999999999999
13,19,0.0,-0.16160890868019276,0.9999998050371316
14,0,0.0,-0.2121224174149659,0.9999999999831309
14,1,0.0,-0.24221675802541864,0.9999999999999774
14,2,0.0,-0.30949837686501913,1.0
14,3,0.0,-0.1732693228543823,0.9999999725573118
14,5,0.024243971588975653,0.13578608696586583,9.724225385228144e-06
14,6,0.024795515369407023,0.303290914685178,3.502427314665886e-21
14,7,0.0,-0.18014545695820997,0.9999999918383471
14,9,0.0,-0.26588642393543727,0.9999999999999999
14,10,0.0,-0.1633831238975984,0.9999998541951497
14,12,0.0,-0.3241308459436124,1.0
14,13,0.0,-0.28349128667002244,1.0
14,14,0.03226845175067519,0.38535596715274395,3.2141085051448227e-32
14,15,0.02026372665579464,-0.4589042347518235,1.0
